Reading in data from ../common/square.input
Number of particles: 225
Number of vertices: 4
xmin -7.5 xmax 7.5
ymin -7.5 ymax 7.5
Found 225 particles with maximum number of 4 vertices
Created simulation cell 15.0 by 15.0


Starting ACO with 32 ants 8 threads  alpha=1.0 beta=2.0 evap=0.9
Step 142/10000 best energy 696.0 ant 5 missing vert 0.0
Step 143/10000 best energy 636.0 ant 12 missing vert 0.0
Step 144/10000 best energy 703.0 ant 3 missing vert 0.0
Step 145/10000 best energy 675.0 ant 3 missing vert 0.0
Step 146/10000 best energy 723.0 ant 12 missing vert 0.0
Step 147/10000 best energy 682.0 ant 2 missing vert 0.0
Step 148/10000 best energy 693.0 ant 28 missing vert 0.0
Step 149/10000 best energy 750.0 ant 18 missing vert 0.0
Step 150/10000 best energy 693.0 ant 5 missing vert 0.0
Step 151/10000 best energy 692.0 ant 10 missing vert 0.0
Step 152/10000 best energy 667.0 ant 12 missing vert 0.0
Step 153/10000 best energy 695.0 ant 31 missing vert 0.0
Step 154/10000 best energy 653.0 ant 2 missing vert 0.0
Step 155/10000 best energy 697.0 ant 6 missing vert 0.0
Step 156/10000 best energy 627.0 ant 8 missing vert 0.0
Step 157/10000 best energy 704.0 ant 6 missing vert 0.0
Step 158/10000 best energy 691.0 ant 27 missing vert 0.0
Step 159/10000 best energy 733.0 ant 11 missing vert 0.0
Step 160/10000 best energy 694.0 ant 25 missing vert 0.0
Step 161/10000 best energy 700.0 ant 22 missing vert 0.0
Step 162/10000 best energy 716.0 ant 19 missing vert 0.0
Step 163/10000 best energy 646.0 ant 26 missing vert 0.0
Step 164/10000 best energy 687.0 ant 13 missing vert 0.0
Step 165/10000 best energy 629.0 ant 7 missing vert 0.0
Step 166/10000 best energy 672.0 ant 25 missing vert 0.0
Step 167/10000 best energy 682.0 ant 19 missing vert 0.0
Step 168/10000 best energy 654.0 ant 0 missing vert 0.0
Step 169/10000 best energy 729.0 ant 5 missing vert 0.0
Step 170/10000 best energy 689.0 ant 31 missing vert 0.0
Step 171/10000 best energy 726.0 ant 25 missing vert 0.0
Step 172/10000 best energy 710.0 ant 31 missing vert 0.0
Step 173/10000 best energy 684.0000000000001 ant 19 missing vert 0.0
Step 174/10000 best energy 694.0 ant 18 missing vert 0.0
Step 175/10000 best energy 712.0 ant 10 missing vert 0.0
Step 176/10000 best energy 720.0 ant 14 missing vert 0.0
Step 177/10000 best energy 685.0 ant 7 missing vert 0.0
Step 178/10000 best energy 703.0 ant 23 missing vert 0.0
Step 179/10000 best energy 675.0 ant 3 missing vert 0.0
Step 180/10000 best energy 688.0 ant 5 missing vert 0.0
Step 181/10000 best energy 604.0 ant 9 missing vert 0.0
Step 182/10000 best energy 651.0 ant 16 missing vert 0.0
Step 183/10000 best energy 742.0 ant 3 missing vert 0.0
Step 184/10000 best energy 723.0 ant 18 missing vert 0.0
Step 185/10000 best energy 645.0 ant 15 missing vert 0.0
Step 186/10000 best energy 687.0 ant 18 missing vert 0.0
Step 187/10000 best energy 688.0 ant 17 missing vert 0.0
Step 188/10000 best energy 665.0 ant 12 missing vert 0.0
Step 189/10000 best energy 741.0 ant 17 missing vert 0.0
Step 190/10000 best energy 682.0 ant 24 missing vert 0.0
Step 191/10000 best energy 679.0 ant 30 missing vert 0.0
Step 192/10000 best energy 684.0 ant 22 missing vert 0.0
Step 193/10000 best energy 672.0 ant 17 missing vert 0.0
Step 194/10000 best energy 649.0 ant 5 missing vert 0.0
Step 195/10000 best energy 687.0 ant 24 missing vert 0.0
Step 196/10000 best energy 657.0 ant 24 missing vert 0.0
Step 197/10000 best energy 721.0 ant 7 missing vert 0.0
Step 198/10000 best energy 671.0 ant 1 missing vert 0.0
Step 199/10000 best energy 661.0 ant 5 missing vert 0.0
Step 200/10000 best energy 715.0 ant 19 missing vert 0.0
Step 201/10000 best energy 722.0 ant 8 missing vert 0.0
Step 202/10000 best energy 695.0 ant 14 missing vert 0.0
Step 203/10000 best energy 661.0 ant 31 missing vert 0.0
Step 204/10000 best energy 691.0 ant 8 missing vert 0.0
